cluster,id,ra,dec,zphot
MACS1149,3515.0,177.3852144,22.3799763,8.197000000000001
MACS1149,3571.0,177.3754601,22.3788326,7.41
MACS1149,3592.0,177.399645,22.3784758,7.41
MACS1149,3646.0,177.3994172,22.3774441,7.41
MACS1149,3720.0,177.4206701,22.3762163,7.41
MACS1149,3729.0,177.379547,22.376046,7.41
MACS1149,3730.0,177.3795478,22.3759741,7.41
MACS1149,3747.0,177.3797354,22.3754734,7.41
MACS1149,3748.0,177.3797408,22.3754016,7.41
MACS1149,3750.0,177.3796673,22.3756004,7.41
MACS1149,3752.0,177.3798142,22.3753264,7.41
MACS1149,3771.0,177.3798486,22.3750705,7.41
MACS1149,3794.0,177.3798215,22.3751614,7.41
MACS1149,3798.0,177.3841418,22.374059,7.41
MACS1149,3800.0,177.4117038,22.3740638,7.41
MACS1149,3845.0,177.4147333,22.3730461,9.892999999999999
MACS1149,3853.0,177.4051333,22.3728166,7.41
MACS1149,3858.0,177.3991967,22.3724671,8.197000000000001
MACS1149,3861.0,177.4004286,22.3724336,7.41
MACS1149,3864.0,177.4143621,22.3723977,9.892999999999999
MACS1149,3869.0,177.4014719,22.3721662,7.41
MACS1149,3870.0,177.4047739,22.3721497,7.41
MACS1149,3871.0,177.40433,22.3720657,7.41
MACS1149,3895.0,177.4045558,22.3709844,7.41
MACS1149,3896.0,177.4050174,22.3709681,7.41
MACS1149,3900.0,177.4037888,22.3708968,7.41
MACS1149,3906.0,177.3887777,22.3706219,7.41
MACS1149,3912.0,177.3858772,22.3704066,7.41
MACS1149,3939.0,177.396229,22.3701495,9.785
MACS1149,3942.0,177.4110341,22.3700996,7.41
MACS1149,3947.0,177.4111149,22.3699617,7.41
MACS1149,3954.0,177.3861417,22.3689627,7.41
MACS1149,3958.0,177.4121527,22.3683668,9.892999999999999
