#cluster,ID (ERS),RA,DEC,z_best
A2744,14416.0,3.586204935,-30.40135212,0.308
A2744,14417.0,3.586204937,-30.40147979,0.308
A2744,14419.0,3.586204941,-30.40173513,0.308
A2744,14420.0,3.586204943,-30.4018628,0.308
A2744,14422.0,3.586204947,-30.40211813,0.308
A2744,14423.0,3.58620495,-30.4022458,0.308
A2744,14425.0,3.586204954,-30.40250114,0.308
A2744,14426.0,3.586204956,-30.40262881,0.308
A2744,14428.0,3.58620496,-30.40288415,0.308
A2744,14429.0,3.586204962,-30.40301182,0.308
A2744,14431.0,3.586204967,-30.40326715,0.308
A2744,14432.0,3.586204969,-30.40339482,0.308
A2744,14434.0,3.586204973,-30.40365016,0.308
A2744,14435.0,3.586204975,-30.40377783,0.308
A2744,14437.0,3.58620498,-30.40403317,0.308
A2744,14438.0,3.586204982,-30.40416084,0.308
A2744,14440.0,3.586204986,-30.40441617,0.308
A2744,14441.0,3.586204988,-30.40454384,0.308
A2744,14443.0,3.586204992,-30.40479918,0.308
A2744,15001.0,3.5811963,-30.4285281,11.183
A2744,15002.0,3.5678524,-30.4262586,5.057
A2744,15003.0,3.5771664,-30.422576,5.206
A2744,15004.0,3.5931785,-30.4228535,5.669
A2744,15005.0,3.5646263,-30.422057,11.199
A2744,15006.0,3.5571719,-30.4215086,5.781
A2744,15007.0,3.5556917,-30.4210077,8.624
A2744,15008.0,3.5559005,-30.4197135,8.84
A2744,15009.0,3.5493718,-30.4179006,5.09
A2744,15010.0,3.5516785,-30.4163625,5.16
A2744,15011.0,3.5473976,-30.4161485,5.117
A2744,15012.0,3.5421838,-30.4153118,8.862
A2744,15013.0,3.5405962,-30.4137181,5.201
A2744,15014.0,3.5581158,-30.4106224,5.222
A2744,15015.0,3.6265451,-30.4069446,5.157
A2744,15016.0,3.5508545,-30.4058963,5.111
A2744,15017.0,3.6146348,-30.4042187,11.57
A2744,15018.0,3.6092228,-30.4034362,5.054
A2744,15019.0,3.5611089,-30.3993274,5.942
A2744,15020.0,3.5471004,-30.390708,11.072
A2744,15021.0,3.5530845,-30.385078,5.171
A2744,15022.0,3.6281971,-30.3784394,10.025
A2744,15023.0,3.5811002,-30.3745807,11.481
A2744,15024.0,3.5597775,-30.3718191,6.908
A2744,15025.0,3.60757,-30.3710976,11.347
A2744,15026.0,3.6303059,-30.3699619,5.089
A2744,15027.0,3.6241108,-30.3658956,5.029
